2023-10-18 21:08:45,793: Key.shift
2023-10-18 21:08:45,965: 'H'
2023-10-18 21:08:46,214: 'e'
2023-10-18 21:08:46,449: 'l'
2023-10-18 21:08:46,605: 'l'
2023-10-18 21:08:46,793: 'o'
2023-10-18 21:08:47,490: Key.space
2023-10-18 21:08:47,620: Key.shift
2023-10-18 21:08:47,761: 'I'
2023-10-18 21:08:47,933: Key.space
2023-10-18 21:08:48,140: 'a'
2023-10-18 21:08:48,265: 'm'
2023-10-18 21:08:49,238: Key.space
2023-10-18 21:08:49,385: 'a'
2023-10-18 21:08:49,526: Key.space
2023-10-18 21:08:49,887: Key.shift
2023-10-18 21:08:50,171: 'A'
2023-10-18 21:08:50,421: 't'
2023-10-18 21:08:50,452: 'm'
2023-10-18 21:08:50,562: 'a'
2023-10-18 21:08:50,671: 'n'
